StartDate,EndDate,Finished,RecordedDate,DistributionChannel,UserLanguage,Q3,Q6a_First Click,Q6a_Last Click,Q6a_Page Submit,Q6a_Click Count,Q7a_First Click,Q7a_Last Click,Q7a_Page Submit,Q7a_Click Count,Q8a_First Click,Q8a_Last Click,Q8a_Page Submit,Q8a_Click Count,Q9,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q36,Q36_10_TEXT,Q37,Q37_6_TEXT,Q38,Q39,Q39_7_TEXT,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q46_4_TEXT,Q47_1
2024-02-15 07:10:07,2024-02-15 07:32:20,TRUE,2024-02-15 07:32:20,anonymous,EN,I confirm that I have read the information above and consent to participate,18.149,46.244,61.447,4,24.361,24.361,25.371,1,0,0,45.391,0,Environmental,I often perceive,I often perceive,I sometimes perceive,I often perceive,I always perceive,I always perceive,I always perceive,I always perceive,I sometimes perceive,I often perceive,I sometimes perceive,I always perceive,I often perceive,I sometimes perceive,I always perceive,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,The biggest barrier is the cost of implementing environmentally friendly resources.,There are no barriers that I’m aware of,There are no barriers that I’m aware of ,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Small-Medium Private Enterprise,,20 to 49 employees,Director or Manager,,3-5 years,"Some college, but no degree","$75,000-$99,999",35-44 years old,No,White or Caucasian,Female,,3.94
2024-02-15 07:19:33,2024-02-15 07:33:42,TRUE,2024-02-15 07:33:43,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,55.875,0,0,0,21.261,0,0,0,11.65,0,Environmental,I often perceive,I often perceive,I sometimes perceive,I sometimes perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I always perceive,I often perceive,I often perceive,I often perceive,I always perceive,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,I think it is provision of resources to initiate or implement it. ,I think it is the policy making and implementation,It is about getting everyone on board and how the policy will be made effected,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Small-Medium Private Enterprise,,20 to 49 employees,Individual Contributor,,5-10 years,Bachelor’s degree,"$100,000-$149,999",25-34 years old,No,Black or African American,Male,,1.89
2024-02-15 07:17:39,2024-02-15 07:36:04,TRUE,2024-02-15 07:36:04,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,54.831,0,0,0,38.97,0,0,0,18.309,0,Environmental,I often perceive,I always perceive,I often perceive,I often perceive,I always perceive,I always perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I always perceive,I often perceive,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,My company may engage with ESG in order to provide social amenities to the society,The barrier may be health of the employees in a sense that there will be high cost to engage health professions to give training,The biggest barrier will be how to prevent corruption when there is no unity between employees,"Passenger Ground Transportation — Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics.",,Large Private Enterprise,,100 to 249 employees,Head of department SVP or VP,,3-5 years,Bachelor’s degree,"$50,000-$74,999",25-34 years old,No,Black or African American,Female,,2.17
2024-02-15 07:24:56,2024-02-15 07:36:15,TRUE,2024-02-15 07:36:16,anonymous,EN,I confirm that I have read the information above and consent to participate,21.233,21.233,32.629,1,0,0,10.057,0,0,0,6.646,0,Environmental,I rarely perceive,I never perceive,I rarely perceive,I never perceive,I rarely perceive,I sometimes perceive,I never perceive,I never perceive,I often perceive,I rarely perceive,I often perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,"my company needs to use recycled paper, they also need to recycle more and make it more readily available for its employs to do the same ",my company needs to implement more safety protocols,my company needs to have a fairer pay grade for all employs and offer insurance to all employs not just some,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Small-Medium Private Enterprise,,100 to 249 employees,Employee not on management track,,Over 20 years,High school diploma or GED,"Less than $25,000",45-54 years old,No,White or Caucasian,Female,,3.73
2024-02-15 07:30:01,2024-02-15 07:36:47,TRUE,2024-02-15 07:36:47,anonymous,EN,I confirm that I have read the information above and consent to participate,1.057,17.177,18.469,4,0,0,9.258,0,0,0,7.171,0,Environmental,I sometimes perceive,I often perceive,I often perceive,I sometimes perceive,I often perceive,I often perceive,I always perceive,I sometimes perceive,I often perceive,I sometimes perceive,I never perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I sometimes perceive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,There arent many barriers. In our company we attempt to do most things with harming the environment as minimally as possible. One barrier could just be whether all employees are implementing environmental standards at work,A barrier for this is the fact that majority of people work remotely.,The company is privately owned thus having a big hierarchy ,Other (please describe),Car service programming ,Large Private Enterprise,,"1,000 or more employees",Employee not on management track,,1-2 years,Bachelor’s degree,"$50,000-$74,999",25-34 years old,No,Asian,Male,,2.49
2024-02-15 07:27:37,2024-02-15 07:37:59,TRUE,2024-02-15 07:38:00,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,20.253,0,0,0,5.919,0,0,0,10.289,0,Environmental,I often perceive,I sometimes perceive,I often perceive,I often perceive,I always perceive,I sometimes perceive,I often perceive,I always perceive,I always perceive,I rarely perceive,I often perceive,I often perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,"The biggest barrier is accessibility, natural gas and electric chargers are not always easy to access in rural towns.",The biggest barrier for increasing social pillar is ensuring employees understand safety protocols.,The biggest barrier to increasing governmental pillar behaviors is electing the right board/CEO.,"Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).",,Large Private Enterprise,,"1,000 or more employees",Employee not on management track,,5-10 years,Bachelor’s degree,"$75,000-$99,999",25-34 years old,No,Black or African American,Female,,1.94
2024-02-15 07:28:11,2024-02-15 07:40:04,TRUE,2024-02-15 07:40:05,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,11.509,0,0,0,4.385,0,0,0,13.291,0,Environmental,I sometimes perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I rarely perceive,I never perceive,I never perceive,I never perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I rarely perceive,I rarely perceive,I sometimes perceive,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,It's a waste of money with no real benefit.,Profit is more important than the workers.,The company is not interested in employees' rights.,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Publicly Traded Corporation,,"1,000 or more employees",Director or Manager,,10-20 years,Bachelor’s degree,"Less than $25,000",35-44 years old,No,White or Caucasian,Male,,7
2024-02-15 07:26:54,2024-02-15 07:40:56,TRUE,2024-02-15 07:40:57,anonymous,EN,I confirm that I have read the information above and consent to participate,8.584,71.038,72.37,9,3.566,25.616,26.352,3,0.745,11.628,15.507,4,Entertainment,I sometimes perceive,I rarely perceive,I sometimes perceive,I rarely perceive,I often perceive,I often perceive,I rarely perceive,I often perceive,I sometimes perceive,I often perceive,I always perceive,I always perceive,I often perceive,I never perceive,I often perceive,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,The biggest barrier to this is to make out the carbon footprint of so many employees. Have more solar power and better recycling. Emphasis this to many employees.,A barrier to Social pillars is that ensuring safe labor in a big warehouse with thousands of employees working. Make sure people know safety first and not put so much emphasis on speed and productivity.,A governmental pillar barrier is to give employees better pay and benefits. And to give back benefits that was taken away. Also to support surrounding communities.,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Publicly Traded Corporation,,"1,000 or more employees",Employee not on management track,,5-10 years,Associates or technical degree,Prefer not to say,25-34 years old,No,Black or African American,Male,,3.2
2024-02-15 07:19:22,2024-02-15 07:44:16,TRUE,2024-02-15 07:44:17,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,23.878,0,0,0,9.052,0,0,0,9.689,0,Environmental,I often perceive,I often perceive,I always perceive,I often perceive,I often perceive,I often perceive,I often perceive,I always perceive,I always perceive,I often perceive,I often perceive,I always perceive,I sometimes perceive,I often perceive,I often perceive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,"In my organization, our major barrier will be individuals not willing to use vehicles with lower emissions or use public buses instead of personal vehicles to reduce the emissions.",Lack of adequate sources to support underprivileged communities.,There is no proper regulation to govern these shareholders to avoid corruption.,"Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).",,Small-Medium Private Enterprise,,100 to 249 employees,Employee not on management track,,3-5 years,Some high school or less,"$25,000-$49,999",25-34 years old,No,Black or African American,Male,,6.45
2024-02-15 07:28:22,2024-02-15 07:45:11,TRUE,2024-02-15 07:45:12,anonymous,EN,I confirm that I have read the information above and consent to participate,43.364,43.632,45.358,2,84.803,85.003,86.128,2,0,0,12.341,0,Environmental,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I often perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I sometimes perceive,I rarely perceive,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Being able to maintain a good product and wages without increasing costs just to please people ,"People here are given things based on Merritt and the want, only those who are willing to get dirty and be in danger get paid for it",We aren’t a public company and the only ones who profit are those at the top ,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Small-Medium Private Enterprise,,100 to 249 employees,Director or Manager,,5-10 years,Associates or technical degree,"$50,000-$74,999",35-44 years old,No,White or Caucasian,Male,,4.28
2024-02-15 07:26:15,2024-02-15 07:45:40,TRUE,2024-02-15 07:45:41,anonymous,EN,I confirm that I have read the information above and consent to participate,5.684,46.272,48.823,4,19.76,19.76,21.326,1,0,0,35.909,0,Environmental,I never perceive,I never perceive,I never perceive,I rarely perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I rarely perceive,I never perceive,I never perceive,I never perceive,I sometimes perceive,I rarely perceive,I never perceive,I rarely perceive,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,I do not know what the biggest pillar barrier is but my perception of it is cost. It will take many millions of dollars to change the entire fleet of vehicles to more environmentally friendly versions.,"I work in a unionized company so the labor, health, and safety practices have not been an issue. Community outreach is definitely lacking though.",I am not privy to any of this information within the company so I am not sure what can be said about it.,"Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).",,Publicly Traded Corporation,,"1,000 or more employees",Employee not on management track,,Over 20 years,Associates or technical degree,"$50,000-$74,999",45-54 years old,No,White or Caucasian,Male,,1.91
2024-02-15 07:41:24,2024-02-15 07:46:18,TRUE,2024-02-15 07:46:18,anonymous,EN,I confirm that I have read the information above and consent to participate,1.301,3.223,7.801,3,1.687,1.687,4.038,1,0.791,0.791,4.052,1,Environmental,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I often perceive,I often perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I sometimes perceive,I sometimes perceive,I never perceive,I sometimes perceive,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Lack of interest from the top.  Company president believes environmental impacts by human activity is overblown.,Time constraints.  We stay very busy and it's difficult to find time ,I am not super involved this this so I am unsure.,"Rail Transportation — Companies providing primarily goods and passenger rail transportation.,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,Passenger Ground Transportation — Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics.",,Small-Medium Private Enterprise,,10 to 19 employees,Director or Manager,,3-5 years,Associates or technical degree,"$100,000-$149,999",35-44 years old,No,White or Caucasian,Female,,1.93
2024-02-15 07:35:09,2024-02-15 07:47:59,TRUE,2024-02-15 07:48:00,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,15.798,0,0,0,5.41,0,0,0,6.337,0,Environmental,I often perceive,I often perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I often perceive,I often perceive,I often perceive,I often perceive,I sometimes perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"in my opinion, investments and education are the barriers ",Biggest barrier is definitely creating of policies to cover social pillar behaviour,"with regards to government pillar, I will say policy implementation that applies to all companies","Rail Transportation — Companies providing primarily goods and passenger rail transportation.,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).",,Large Private Enterprise,,100 to 249 employees,Director or Manager,,10-20 years,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000-$149,999",35-44 years old,No,Black or African American,Male,,2.48
2024-02-15 07:18:30,2024-02-15 07:49:47,TRUE,2024-02-15 07:49:47,anonymous,EN,I confirm that I have read the information above and consent to participate,145.075,421.31,421.864,8,0,0,22.572,0,0,0,20.35,0,Environmental,I often perceive,I often perceive,I always perceive,I always perceive,I always perceive,I often perceive,I always perceive,I always perceive,I always perceive,I often perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,education is the key in environmental pillar behaviors in the company i work in. employees should be educated on the risk involved in environmental pillar behaviors which is climate change,awareness is the key to increasing social pillar behaviors in the company i work for,workers should be educated on increasing governmental pillar behaviors,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Publicly Traded Corporation,,100 to 249 employees,Employee not on management track,,10-20 years,Associates or technical degree,"$50,000-$74,999",35-44 years old,No,Black or African American,Male,,7
